x,score,lower_bound,upper_bound
2.0,1.3348625010119108,1.1020634169962324,1.5676615850275892
2.5,0.5761055358672126,0.4358843489330323,0.7163267228013929
4.0,-0.051593831860302225,-0.16211536428219936,0.058927700561594895
5.5,-0.2785667830946242,-0.37801713197401204,-0.17911643421523632
6.5,-0.33286300735924884,-0.4453869324352867,-0.22033908228321097
7.5,-0.4801891415863997,-0.5659511168981397,-0.39442716627465974
8.5,-0.47429076793949054,-0.551429650759494,-0.39715188511948707
9.5,-0.27199058306901663,-0.32934654023990045,-0.21463462589813284
10.5,-0.3975909353790625,-0.4627948703661126,-0.33238700039201236
11.5,-0.4587518249519274,-0.5336815102445466,-0.3838221396593082
12.5,-0.5514833141525273,-0.6532587136272716,-0.4497079146777829
13.5,-0.4416961720909667,-0.5834851605632426,-0.29990718361869073
14.5,-0.48188470497540414,-0.651908634985541,-0.31186077496526726
15.5,-0.41443798867823994,-0.55401023450739,-0.27486574284908993
16.5,-0.19288537689339863,-0.2972903144288207,-0.08848043935797655
17.5,0.06938572075610362,-0.07674538156613837,0.21551682307834563
18.5,-0.005730409664129596,-0.20709700574699327,0.19563618641873406
19.5,0.07966843777610819,-0.37528597119687657,0.5346228467490929
20.5,0.6718724928037777,0.2505103957333195,1.093234589874236
21.5,1.2466122878926402,0.8150785017707161,1.6781460740145644
22.5,1.745447942788314,1.339669606267372,2.151226279309256
