feature,importance
request_rate_per_second,1.3127950184027277
latency_spread_ms,1.0319188813881885
search_request_ratio,0.9870137483135191
request_repeat_ratio,0.8432242746462343
p95_avg_latency_ratio,0.8247373477458294
health_check_ratio,0.8021205932043975
peak_request_rate_per_second,0.6949420925864849
max_response_time_ms,0.6834458514426652
unique_path_count,0.625904616421825
avg_response_time_ms,0.5742667914949173
repeated_path_count,0.4502663194962846
health_check_count,0.4396978853297806
avg_health_check_latency_ms,0.3479640399535008
search_query_count,0.3478719660148427
p95_response_time_ms,0.33878202959389087
request_completed_count,0.3030660884513526
max_health_check_latency_ms,0.22974881574116338
