feature,importance
request_rate_per_second,2.399773076730279
search_request_ratio,1.5960994942527664
health_check_ratio,1.3581031802471084
max_response_time_ms,1.2905508943760315
unique_path_count,1.0855526272418623
avg_response_time_ms,0.9031492764758928
request_repeat_ratio,0.8725450635195307
p95_avg_latency_ratio,0.869594354312411
latency_spread_ms,0.7122758549192844
request_completed_count,0.6697982279566905
peak_request_rate_per_second,0.6025157854874754
repeated_path_count,0.5885004739026701
health_check_count,0.44432763479501963
p95_response_time_ms,0.3924099873111551
search_query_count,0.36579920676071165
avg_health_check_latency_ms,0.32209375618133873
max_health_check_latency_ms,0.22185680702544658
