"run_id","scenario","label","sublabel","scenario_variant","actor_profile","intensity","benign_activity_level","generator_version","planned_request_count","actual_request_count","safety_limit_applied","target_endpoint_family","attacker_host_type","attacker_source_ip","target_web_base","traffic_tool","attack_mode","distributed","source_count","expected_source_count","expected_distributed","observed_webapp_source_count","observed_nginx_source_count","dominant_webapp_source_ip","dominant_nginx_source_ip","webapp_same_source_request_ratio","nginx_same_source_request_ratio","source_ip_metadata_matches_webapp","source_ip_metadata_matches_nginx","ddos_candidate_by_webapp_sources","ddos_candidate_by_nginx_sources","distributed_evidence_confirmed","observed_source_count","top_source_ip_ratio","source_distribution_summary","verification_passed","archive_event_count","alert_event_count","wazuh_archive_evidence_present","wazuh_webapp_log_count","wazuh_nginx_access_count","wazuh_json_decoder_count","wazuh_web_accesslog_decoder_count","webapp_slice_lines","nginx_slice_lines","invalid_webapp_json_lines","request_completed_count","webapp_request_completed_count","nginx_request_count","run_duration_seconds","request_rate_per_second","peak_request_rate_per_second","unique_path_count","repeated_path_count","search_query_count","burst_search_count","human_repeated_search_count","page_view_count","login_page_view_count","admin_access_count","successful_web_login_count","status_2xx_count","status_3xx_count","status_4xx_count","status_5xx_count","error_status_count","error_rate","avg_response_time_ms","max_response_time_ms","p95_response_time_ms","avg_request_duration_ms","max_request_duration_ms","health_check_count","health_check_failed_count","avg_health_check_latency_ms","max_health_check_latency_ms","nginx_error_count"
"benign-20260607T132426Z-001","Benign","Benign","benign_burst_without_attack","benign_burst_without_attack","normal_user","Low","hard_negative_benign_burst","controlled-telemetry-v0.2-diversity","10","10","False","web_app_auth_and_health","","","","","",,,,,"1","1","192.168.1.103","192.168.1.103","1","1",,,"False","False","False","1","1","webapp_sources=1;nginx_sources=1;webapp_ratio=1;nginx_ratio=1","True","254","88","True","20","12","20","12","20","12","0","12","12","12","3.61","3.324","4","7","5","4","0","0","4","1","0","0","12","0","0","0","0","0","13.735","48.243","48.243","13.735","48.243","4","0","1.351","3.15","0"
"benign-20260607T132426Z-002","Benign","Benign","repeated_endpoint_benign","repeated_endpoint_benign","careless_user","Medium","hard_negative_repeated_endpoint_activity","controlled-telemetry-v0.2-diversity","23","23","False","web_app_auth_and_health","","","","","",,,,,"1","1","192.168.1.103","192.168.1.103","1","1",,,"False","False","False","1","1","webapp_sources=1;nginx_sources=1;webapp_ratio=1;nginx_ratio=1","True","161","27","True","47","24","47","24","47","24","0","24","24","24","8.205","2.925","3","5","3","1","0","0","22","8","0","0","24","0","0","0","0","0","10.314","16.865","15.786","10.314","16.865","1","0","0.453","0.453","0"
"benign-20260607T132426Z-003","Benign","Benign","repeated_endpoint_benign","repeated_endpoint_benign","demo_operator","High","hard_negative_repeated_endpoint_activity","controlled-telemetry-v0.2-diversity","32","32","False","web_app_auth_and_health","","","","","",,,,,"1","1","192.168.1.103","192.168.1.103","1","1",,,"False","False","False","1","1","webapp_sources=1;nginx_sources=1;webapp_ratio=1;nginx_ratio=1","True","199","27","True","65","33","65","33","65","33","0","33","33","33","10.379","3.179","4","9","5","6","0","0","26","10","0","0","33","0","0","0","0","0","9.22","27.042","17.699","9.22","27.042","1","0","0.638","0.638","0"
"benign-20260607T132426Z-004","Benign","Benign","healthcheck_heavy_benign","healthcheck_heavy_benign","normal_user","Low","hard_negative_healthcheck_activity","controlled-telemetry-v0.2-diversity","14","14","False","web_app_auth_and_health","","","","","",,,,,"1","1","192.168.1.103","192.168.1.103","1","1",,,"False","False","False","1","1","webapp_sources=1;nginx_sources=1;webapp_ratio=1;nginx_ratio=1","True","123","27","True","23","15","23","15","23","15","0","15","15","15","4.803","3.123","4","7","4","3","0","0","5","1","0","0","15","0","0","0","0","0","4.915","16.018","16.018","4.915","16.018","7","0","0.455","0.666","0"
"benign-20260607T132426Z-005","Benign","Benign","benign_burst_without_attack","benign_burst_without_attack","careless_user","Medium","hard_negative_benign_burst","controlled-telemetry-v0.2-diversity","16","16","False","web_app_auth_and_health","","","","","",,,,,"1","1","192.168.1.103","192.168.1.103","1","1",,,"False","False","False","1","1","webapp_sources=1;nginx_sources=1;webapp_ratio=1;nginx_ratio=1","True","220","27","True","31","17","32","17","31","17","0","17","17","17","5.644","3.012","4","10","4","6","0","0","7","1","0","0","17","0","0","0","0","0","30.802","400.332","400.332","30.802","400.332","3","0","0.42","0.481","0"
"benign-20260607T132426Z-006","Benign","Benign","benign_burst_without_attack","benign_burst_without_attack","demo_operator","High","hard_negative_benign_burst","controlled-telemetry-v0.2-diversity","40","40","False","web_app_auth_and_health","","","","","",,,,,"1","1","192.168.1.103","192.168.1.103","1","1",,,"False","False","False","1","1","webapp_sources=1;nginx_sources=1;webapp_ratio=1;nginx_ratio=1","True","219","27","True","70","41","70","41","70","41","0","41","41","41","13.997","2.929","3","13","10","20","0","0","9","1","0","0","41","0","0","0","0","0","8.495","17.019","16.187","8.495","17.019","12","0","0.573","1.13","0"
"benign-20260607T132426Z-007","Benign","Benign","heavy_search_benign","heavy_search_benign","normal_user","Low","hard_negative_search_activity","controlled-telemetry-v0.2-diversity","8","8","False","web_app_auth_and_health","","","","","",,,,,"1","1","192.168.1.103","192.168.1.103","1","1",,,"False","False","False","1","1","webapp_sources=1;nginx_sources=1;webapp_ratio=1;nginx_ratio=1","True","115","27","True","17","9","17","9","17","9","0","9","9","9","2.393","3.761","4","6","5","3","0","0","5","3","0","0","9","0","0","0","0","0","10.752","15.861","15.861","10.752","15.861","1","0","1.59","1.59","0"
"benign-20260607T132426Z-008","Benign","Benign","normal_browsing","normal_browsing","careless_user","Medium","baseline","controlled-telemetry-v0.2-diversity","24","26","False","web_app_auth_and_health","","","","","",,,,,"1","1","192.168.1.103","192.168.1.103","1","1",,,"False","False","False","1","1","webapp_sources=1;nginx_sources=1;webapp_ratio=1;nginx_ratio=1","True","201","27","True","53","27","54","27","53","27","0","27","27","27","9.139","2.954","4","12","5","7","0","0","17","11","1","1","27","0","0","0","0","0","22.708","370.033","14.788","22.708","370.033","1","0","0.564","0.564","0"
"benign-20260607T132426Z-009","Benign","Benign","heavy_search_benign","heavy_search_benign","demo_operator","High","hard_negative_search_activity","controlled-telemetry-v0.2-diversity","43","43","False","web_app_auth_and_health","","","","","",,,,,"1","1","192.168.1.103","192.168.1.103","1","1",,,"False","False","False","1","1","webapp_sources=1;nginx_sources=1;webapp_ratio=1;nginx_ratio=1","True","238","27","True","87","44","87","44","87","44","0","44","44","44","15.098","2.914","3","19","12","26","0","0","17","5","0","0","44","0","0","0","0","0","8.97","18.411","14.323","8.97","18.411","1","0","0.976","0.976","0"
"benign-20260607T132426Z-010","Benign","Benign","healthcheck_heavy_benign","healthcheck_heavy_benign","normal_user","Low","hard_negative_healthcheck_activity","controlled-telemetry-v0.2-diversity","12","12","False","web_app_auth_and_health","","","","","",,,,,"1","1","192.168.1.103","192.168.1.103","1","1",,,"False","False","False","1","1","webapp_sources=1;nginx_sources=1;webapp_ratio=1;nginx_ratio=1","True","105","27","True","16","13","16","13","16","13","0","13","13","13","4.424","2.939","3","3","3","0","0","0","3","1","0","0","13","0","0","0","0","0","3.416","15.143","15.143","3.416","15.143","10","0","0.876","2.253","0"
"benign-20260607T132426Z-011","Benign","Benign","mixed_user_journey_benign","mixed_user_journey_benign","careless_user","Medium","hard_negative_mixed_user_journey","controlled-telemetry-v0.2-diversity","21","23","False","web_app_auth_and_health","","","","","",,,,,"1","1","192.168.1.103","192.168.1.103","1","1",,,"False","False","False","1","1","webapp_sources=1;nginx_sources=1;webapp_ratio=1;nginx_ratio=1","True","163","27","True","42","24","45","24","42","24","0","24","24","24","8.422","2.85","4","9","6","3","0","0","9","6","3","3","24","0","0","0","0","0","46.068","400.1","299.245","46.068","400.1","6","0","0.763","1.74","0"
"benign-20260607T132426Z-012","Benign","Benign","mixed_user_journey_benign","mixed_user_journey_benign","demo_operator","High","hard_negative_mixed_user_journey","controlled-telemetry-v0.2-diversity","34","36","False","web_app_auth_and_health","","","","","",,,,,"1","1","192.168.1.103","192.168.1.103","1","1",,,"False","False","False","1","1","webapp_sources=1;nginx_sources=1;webapp_ratio=1;nginx_ratio=1","True","224","27","True","66","37","69","37","66","37","0","37","37","37","13.725","2.696","4","12","7","7","0","0","16","6","3","3","37","0","0","0","0","0","35.976","407.666","335.036","35.976","407.666","8","0","0.626","1.596","0"
