model,split,accuracy,precision,recall,f1,roc_auc,best_params
xgboost,train,0.9952153110047847,0.9929078014184397,1.0,0.99644128113879,0.9998964803312629,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 50, ""subsample"": 1.0}"
xgboost,val,0.9666666666666667,0.9523809523809523,1.0,0.975609756097561,1.0,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 50, ""subsample"": 1.0}"
xgboost,test,0.95,0.9302325581395349,1.0,0.963855421686747,0.99,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 50, ""subsample"": 1.0}"
ebm,train,1.0,1.0,1.0,1.0,1.0,"{""interactions"": 0, ""learning_rate"": 0.03, ""max_bins"": 64, ""max_rounds"": 200}"
ebm,val,1.0,1.0,1.0,1.0,1.0,"{""interactions"": 0, ""learning_rate"": 0.03, ""max_bins"": 64, ""max_rounds"": 200}"
ebm,test,0.95,0.9302325581395349,1.0,0.963855421686747,0.9974999999999999,"{""interactions"": 0, ""learning_rate"": 0.03, ""max_bins"": 64, ""max_rounds"": 200}"
random_forest,train,1.0,1.0,1.0,1.0,0.9999999999999999,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 100}"
random_forest,val,0.9666666666666667,0.9523809523809523,1.0,0.975609756097561,1.0,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 100}"
random_forest,test,0.95,0.9302325581395349,1.0,0.963855421686747,0.9812500000000001,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 100}"
svm,train,0.9904306220095693,1.0,0.9857142857142858,0.9928057553956835,0.9995859213250518,"{""model__C"": 10, ""model__gamma"": ""scale"", ""model__kernel"": ""rbf""}"
svm,val,0.9,0.8695652173913043,1.0,0.9302325581395349,0.945,"{""model__C"": 10, ""model__gamma"": ""scale"", ""model__kernel"": ""rbf""}"
svm,test,0.9,0.8695652173913043,1.0,0.9302325581395349,0.98625,"{""model__C"": 10, ""model__gamma"": ""scale"", ""model__kernel"": ""rbf""}"
mlp,train,0.9760765550239234,0.972027972027972,0.9928571428571429,0.9823321554770318,0.9958592132505176,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [32, 16], ""model__learning_rate_init"": 0.01}"
mlp,val,0.8,0.85,0.85,0.85,0.935,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [32, 16], ""model__learning_rate_init"": 0.01}"
mlp,test,0.8166666666666667,0.7959183673469388,0.975,0.8764044943820225,0.8674999999999999,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [32, 16], ""model__learning_rate_init"": 0.01}"
